排序	编码		名称		类型		2025-08-29	2025-09-29	净增长	增长率
1	018927	南方中证电池主题指数发起C		指数型-股票		1.2053		1.6049		0.3996	33.15%
2	012863	汇添富中证电池主题ETF发起式联接C		指数型-股票		0.6128		0.8098		0.197	32.15%
3	015998	大成中证电池主题指数发起C		指数型-股票		0.6595		0.8680		0.2085	31.61%
4	016020	招商中证电池主题ETF联接C		指数型-股票		0.6675		0.8770		0.2095	31.39%
5	016567	嘉实中证电池主题ETF发起联接C		指数型-股票		0.7440		0.9624		0.2184	29.35%
6	017223	富国中证电池主题ETF发起式联接C		指数型-股票		0.8248		1.0493		0.2245	27.22%
7	003985	嘉实新能源新材料股票C		股票型		2.0099		2.5495		0.5396	26.85%
8	017074	嘉实清洁能源股票发起式C		股票型		0.8459		1.0665		0.2206	26.08%
9	017166	易米低碳经济股票发起C		股票型		0.9055		1.1348		0.2293	25.32%
10	017968	华富科技动能混合C		混合型-偏股		1.5480		1.9361		0.3881	25.07%
11	013180	广发国证新能源车电池ETF联接C		指数型-股票		0.6850		0.8546		0.1696	24.76%
12	015874	工银国证新能源车电池ETF发起式联接C		指数型-股票		0.7214		0.8998		0.1784	24.73%
13	024420	华夏创业板新能源ETF发起式联接C		指数型-股票		1.0945		1.3649		0.2704	24.71%
14	018380	万家国证新能源车电池指数发起式C		指数型-股票		0.9950		1.2397		0.2447	24.59%
15	014766	中欧碳中和混合发起C		混合型-偏股		0.7842		0.9761		0.1919	24.47%
16	016710	泉果旭源三年持有期混合C		混合型-偏股		0.8764		1.0876		0.2112	24.1%
17	016068	鹏华新能源汽车混合C		混合型-偏股		0.9850		1.2190		0.234	23.76%
18	012127	宏利新能源股票C		股票型		1.0303		1.2736		0.2433	23.61%
19	013188	华夏能源革新股票C		股票型		2.5420		3.1420		0.6	23.6%
20	007491	南方信息创新混合C		混合型-偏股		2.0741		2.5563		0.4822	23.25%
21	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5648		1.9204		0.3556	22.72%
22	019633	国泰半导体设备ETF联接C		指数型-股票		1.3049		1.5994		0.2945	22.57%
23	011513	天弘中证新能源车C		指数型-股票		0.9814		1.2017		0.2203	22.45%
24	021894	易方达半导体设备ETF联接C		指数型-股票		1.1429		1.3984		0.2555	22.36%
25	020682	建信环保产业股票C		股票型		0.9730		1.1900		0.217	22.3%
26	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4634		1.7894		0.326	22.28%
27	013196	招商中证新能源汽车指数C		指数型-股票		0.6474		0.7915		0.1441	22.26%
28	010806	东财新能源车C		指数型-股票		1.0061		1.2299		0.2238	22.24%
29	002207	前海开源金银珠宝混合C		混合型-灵活		1.9480		2.3800		0.432	22.18%
30	013048	富国中证新能源汽车指数(LOF)C		指数型-股票		0.9430		1.1520		0.209	22.16%
31	016569	嘉实碳中和主题混合C		混合型-偏股		1.4755		1.8023		0.3268	22.15%
32	501058	汇添富中证新能源汽车产业指数(LOF)C		指数型-股票		1.9836		2.4225		0.4389	22.13%
33	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.2004		1.4651		0.2647	22.05%
34	024070	上银中证半导体产业指数发起式C		指数型-股票		1.3323		1.6259		0.2936	22.04%
35	017967	华富新能源股票型发起式C		股票型		0.9193		1.1215		0.2022	21.99%
36	009068	国泰中证新能源汽车ETF联接C		指数型-股票		1.8457		2.2513		0.4056	21.98%
37	014497	诺安研究优选混合C		混合型-偏股		1.0565		1.2887		0.2322	21.98%
38	013320	华安中证新能源汽车ETF发起式联接C		指数型-股票		0.5839		0.7120		0.1281	21.94%
39	013841	银华集成电路混合C		混合型-偏股		1.2245		1.4932		0.2687	21.94%
40	012699	平安中证新能车ETF联接C		指数型-股票		0.6980		0.8504		0.1524	21.83%
41	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6498		2.0095		0.3597	21.8%
42	013173	红土创新科技创新3个月定开混合C		混合型-偏股		0.9110		1.1095		0.1985	21.79%
43	017811	东方人工智能主题混合C		混合型-偏股		1.3151		1.6006		0.2855	21.71%
44	017840	银华清洁能源产业混合C		混合型-偏股		0.9675		1.1774		0.2099	21.7%
45	001467	华富永鑫灵活配置混合C		混合型-灵活		1.3748		1.6726		0.2978	21.66%
46	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.6965		2.0615		0.365	21.51%
47	019091	博时中证新能源汽车ETF发起式联接C		指数型-股票		1.2709		1.5439		0.273	21.48%
48	002084	新华鑫动力灵活配置混合C		混合型-灵活		1.6269		1.9759		0.349	21.45%
49	016478	光大专精特新混合C		混合型-偏股		1.0831		1.3148		0.2317	21.39%
50	018681	国联安气候变化混合C		混合型-偏股		0.5608		0.6800		0.1192	21.26%
51	020840	南方中证半导体产业指数发起C		指数型-股票		1.8119		2.1951		0.3832	21.15%
