排序	编码		名称		类型		2025-08-29	2025-09-26	净增长	增长率
1	018927	南方中证电池主题指数发起C		指数型-股票		1.2053		1.5407		0.3354	27.83%
2	012863	汇添富中证电池主题ETF发起式联接C		指数型-股票		0.6128		0.7763		0.1635	26.68%
3	015998	大成中证电池主题指数发起C		指数型-股票		0.6595		0.8314		0.1719	26.07%
4	016020	招商中证电池主题ETF联接C		指数型-股票		0.6675		0.8415		0.174	26.07%
5	016567	嘉实中证电池主题ETF发起联接C		指数型-股票		0.7440		0.9220		0.178	23.92%
6	017223	富国中证电池主题ETF发起式联接C		指数型-股票		0.8248		1.0064		0.1816	22.02%
7	024420	华夏创业板新能源ETF发起式联接C		指数型-股票		1.0945		1.3233		0.2288	20.9%
8	019633	国泰半导体设备ETF联接C		指数型-股票		1.3049		1.5740		0.2691	20.62%
9	003985	嘉实新能源新材料股票C		股票型		2.0099		2.4229		0.413	20.55%
10	014497	诺安研究优选混合C		混合型-偏股		1.0565		1.2707		0.2142	20.27%
11	017166	易米低碳经济股票发起C		股票型		0.9055		1.0890		0.1835	20.27%
12	007491	南方信息创新混合C		混合型-偏股		2.0741		2.4944		0.4203	20.26%
13	021894	易方达半导体设备ETF联接C		指数型-股票		1.1429		1.3741		0.2312	20.23%
14	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5648		1.8741		0.3093	19.77%
15	017968	华富科技动能混合C		混合型-偏股		1.5480		1.8539		0.3059	19.76%
16	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.5040		1.8006		0.2966	19.72%
17	013180	广发国证新能源车电池ETF联接C		指数型-股票		0.6850		0.8198		0.1348	19.68%
18	015874	工银国证新能源车电池ETF发起式联接C		指数型-股票		0.7214		0.8623		0.1409	19.53%
19	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.2004		1.4347		0.2343	19.52%
20	018380	万家国证新能源车电池指数发起式C		指数型-股票		0.9950		1.1891		0.1941	19.51%
21	014766	中欧碳中和混合发起C		混合型-偏股		0.7842		0.9360		0.1518	19.36%
22	024070	上银中证半导体产业指数发起式C		指数型-股票		1.3323		1.5902		0.2579	19.36%
23	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6498		1.9679		0.3181	19.28%
24	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4634		1.7455		0.2821	19.28%
25	013841	银华集成电路混合C		混合型-偏股		1.2245		1.4595		0.235	19.19%
26	017074	嘉实清洁能源股票发起式C		股票型		0.8459		1.0072		0.1613	19.07%
27	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.6965		2.0199		0.3234	19.06%
28	013188	华夏能源革新股票C		股票型		2.5420		3.0210		0.479	18.84%
29	020840	南方中证半导体产业指数发起C		指数型-股票		1.8119		2.1469		0.335	18.49%
30	016478	光大专精特新混合C		混合型-偏股		1.0831		1.2793		0.1962	18.11%
31	002084	新华鑫动力灵活配置混合C		混合型-灵活		1.6269		1.9213		0.2944	18.1%
32	016068	鹏华新能源汽车混合C		混合型-偏股		0.9850		1.1616		0.1766	17.93%
33	005940	工银新能源汽车混合C		混合型-偏股		3.0886		3.6341		0.5455	17.66%
34	017840	银华清洁能源产业混合C		混合型-偏股		0.9675		1.1378		0.1703	17.6%
35	017811	东方人工智能主题混合C		混合型-偏股		1.3151		1.5464		0.2313	17.59%
36	011513	天弘中证新能源车C		指数型-股票		0.9814		1.1535		0.1721	17.54%
37	000796	宝盈睿丰创新混合C		混合型-灵活		2.4360		2.8630		0.427	17.53%
38	012127	宏利新能源股票C		股票型		1.0303		1.2104		0.1801	17.48%
39	014536	诺安高端制造股票C		股票型		1.7580		2.0650		0.307	17.46%
40	013196	招商中证新能源汽车指数C		指数型-股票		0.6474		0.7601		0.1127	17.41%
41	020465	招商中证半导体产业ETF发起式联接C		指数型-股票		1.8867		2.2147		0.328	17.38%
42	010806	东财新能源车C		指数型-股票		1.0061		1.1809		0.1748	17.37%
43	013048	富国中证新能源汽车指数(LOF)C		指数型-股票		0.9430		1.1060		0.163	17.29%
44	018638	国泰研究优势混合C		混合型-偏股		1.0992		1.2890		0.1898	17.27%
45	023567	德邦高端装备混合发起式C		混合型-偏股		1.0357		1.2143		0.1786	17.24%
46	013014	华夏中证新能源汽车ETF发起式联接C		指数型-股票		0.6240		0.7314		0.1074	17.21%
47	020682	建信环保产业股票C		股票型		0.9730		1.1400		0.167	17.16%
48	501058	汇添富中证新能源汽车产业指数(LOF)C		指数型-股票		1.9836		2.3238		0.3402	17.15%
49	009068	国泰中证新能源汽车ETF联接C		指数型-股票		1.8457		2.1619		0.3162	17.13%
50	013320	华安中证新能源汽车ETF发起式联接C		指数型-股票		0.5839		0.6839		0.1	17.13%
51	019925	华宝竞争优势混合C		混合型-偏股		0.7575		0.8867		0.1292	17.06%
