排序	编码		名称		类型		2025-09-16	2025-10-15	净增长	增长率
1	022607	汇安行业龙头混合C		混合型-偏股		1.9880		2.6041		0.6161	30.99%
2	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9340		1.1967		0.2627	28.13%
3	013841	银华集成电路混合C		混合型-偏股		1.2029		1.4659		0.263	21.86%
4	014497	诺安研究优选混合C		混合型-偏股		1.0810		1.3097		0.2287	21.16%
5	014536	诺安高端制造股票C		股票型		1.7370		2.1030		0.366	21.07%
6	007491	南方信息创新混合C		混合型-偏股		2.0463		2.4671		0.4208	20.56%
7	017811	东方人工智能主题混合C		混合型-偏股		1.2719		1.5299		0.258	20.28%
8	022180	新沃中债0-3年政策性金融债指数C		指数型-固收		0.9571		1.1509		0.1938	20.25%
9	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.2923		1.5467		0.2544	19.69%
10	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.1895		1.4144		0.2249	18.91%
11	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4484		1.7176		0.2692	18.59%
12	019571	诺安优化配置混合C		混合型-偏股		2.1675		2.5663		0.3988	18.4%
13	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5493		1.8297		0.2804	18.1%
14	021894	易方达半导体设备ETF联接C		指数型-股票		1.1307		1.3333		0.2026	17.92%
15	020986	汇安景气成长混合C		混合型-偏股		1.1515		1.3550		0.2035	17.67%
16	019633	国泰半导体设备ETF联接C		指数型-股票		1.2953		1.5233		0.228	17.6%
17	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.4896		1.7483		0.2587	17.37%
18	025209	永赢先锋半导体智选混合发起C		混合型-偏股		0.9972		1.1681		0.1709	17.14%
19	024418	华夏上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.0340		1.2080		0.174	16.83%
20	021793	华泰保兴产业升级混合发起C		混合型-偏股		1.3177		1.5334		0.2157	16.37%
21	016262	银华智荟内在价值灵活配置混合发起C		混合型-灵活		2.0388		2.3712		0.3324	16.3%
22	015146	同泰新能源1年持有股票C		股票型		1.0007		1.1617		0.161	16.09%
23	023037	中欧资源精选混合发起C		混合型-偏股		1.3996		1.6223		0.2227	15.91%
24	022084	华安中证有色金属矿业主题指数发起式C		指数型-股票		1.4908		1.7275		0.2367	15.88%
25	016708	华夏有色金属ETF联接C		指数型-股票		1.4295		1.6551		0.2256	15.78%
26	024975	华泰柏瑞上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.1126		1.2881		0.1755	15.77%
27	013081	中信保诚中证800有色指数(LOF)C		指数型-股票		2.2559		2.6094		0.3535	15.67%
28	020436	金信稳健策略混合C		混合型-灵活		1.8406		2.1279		0.2873	15.61%
29	020554	南方半导体产业股票发起C		股票型		1.7277		1.9970		0.2693	15.59%
30	020451	金信行业优选混合发起式C		混合型-灵活		2.2457		2.5938		0.3481	15.5%
31	018133	博时中证有色金属矿业主题指数C		指数型-股票		1.3703		1.5812		0.2109	15.39%
32	002207	前海开源金银珠宝混合C		混合型-灵活		2.2690		2.6130		0.344	15.16%
33	019165	汇添富中证细分有色金属产业主题ETF发起式联接C		指数型-股票		1.6006		1.8423		0.2417	15.1%
34	013843	银华新锐成长混合C		混合型-偏股		1.0693		1.2294		0.1601	14.97%
35	007978	易方达黄金主题美元现汇C		QDII-商品		0.2026		0.2327		0.0301	14.86%
36	007976	易方达黄金主题人民币C		QDII-商品		1.4387		1.6519		0.2132	14.82%
37	011631	东财有色增强C		指数型-股票		1.7286		1.9845		0.2559	14.8%
38	018777	金信精选成长混合C		混合型-偏股		1.3377		1.5353		0.1976	14.77%
39	018168	国泰有色矿业ETF联接C		指数型-股票		1.4397		1.6517		0.212	14.73%
40	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6578		1.9019		0.2441	14.72%
41	003625	创金合信资源股票发起式C		股票型		3.0992		3.5546		0.4554	14.69%
42	012867	易方达标普生物科技美元汇C		指数型-海外股票		0.1874		0.2149		0.0275	14.67%
43	019005	国投瑞银白银期货(LOF)C		商品		1.1527		1.3216		0.1689	14.65%
44	021297	鹏华国证有色金属行业ETF发起式联接C		指数型-股票		1.3884		1.5917		0.2033	14.64%
45	015687	银华乐享混合C		混合型-偏股		0.7756		0.8891		0.1135	14.63%
46	012866	易方达标普生物科技人民币C		指数型-海外股票		1.3313		1.5254		0.1941	14.58%
47	017193	天弘中证工业有色金属主题指数发起C		指数型-股票		1.3877		1.5881		0.2004	14.44%
48	001467	华富永鑫灵活配置混合C		混合型-灵活		1.6010		1.8321		0.2311	14.43%
49	001174	中欧瑾和灵活配置混合C		混合型-灵活		1.7095		1.9560		0.2465	14.42%
50	015596	国泰国证有色金属行业指数(LOF)C		指数型-股票		1.8388		2.1027		0.2639	14.35%
51	004433	南方中证申万有色金属ETF发起联接C		指数型-股票		1.4923		1.7054		0.2131	14.28%
