排序	编码		名称		类型		2025-09-12	2025-10-13	净增长	增长率
1	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9254		1.2804		0.355	38.36%
2	022607	汇安行业龙头混合C		混合型-偏股		1.9691		2.6861		0.717	36.41%
3	013841	银华集成电路混合C		混合型-偏股		1.1804		1.5792		0.3988	33.79%
4	017811	东方人工智能主题混合C		混合型-偏股		1.2618		1.6575		0.3957	31.36%
5	007491	南方信息创新混合C		混合型-偏股		2.0227		2.6454		0.6227	30.79%
6	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4460		1.8354		0.3894	26.93%
7	014497	诺安研究优选混合C		混合型-偏股		1.0673		1.3546		0.2873	26.92%
8	019571	诺安优化配置混合C		混合型-偏股		2.1628		2.7418		0.579	26.77%
9	014536	诺安高端制造股票C		股票型		1.7200		2.1780		0.458	26.63%
10	020436	金信稳健策略混合C		混合型-灵活		1.8253		2.3101		0.4848	26.56%
11	020451	金信行业优选混合发起式C		混合型-灵活		2.2272		2.8157		0.5885	26.42%
12	016262	银华智荟内在价值灵活配置混合发起C		混合型-灵活		2.0048		2.5305		0.5257	26.22%
13	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5474		1.9523		0.4049	26.17%
14	020986	汇安景气成长混合C		混合型-偏股		1.1208		1.4130		0.2922	26.07%
15	024418	华夏上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.0262		1.2920		0.2658	25.9%
16	021894	易方达半导体设备ETF联接C		指数型-股票		1.1294		1.4209		0.2915	25.81%
17	019633	国泰半导体设备ETF联接C		指数型-股票		1.2941		1.6224		0.3283	25.37%
18	018777	金信精选成长混合C		混合型-偏股		1.3247		1.6598		0.3351	25.3%
19	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.4879		1.8644		0.3765	25.3%
20	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.1882		1.4861		0.2979	25.07%
21	020554	南方半导体产业股票发起C		股票型		1.6973		2.1227		0.4254	25.06%
22	013843	银华新锐成长混合C		混合型-偏股		1.0488		1.3052		0.2564	24.45%
23	015687	银华乐享混合C		混合型-偏股		0.7605		0.9414		0.1809	23.79%
24	024975	华泰柏瑞上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.1045		1.3635		0.259	23.45%
25	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6374		2.0054		0.368	22.47%
26	025333	诺安成长混合C		混合型-偏股		1.6650		2.0370		0.372	22.34%
27	015968	永赢半导体产业智选混合发起C		混合型-偏股		1.4574		1.7826		0.3252	22.31%
28	021793	华泰保兴产业升级混合发起C		混合型-偏股		1.3199		1.6111		0.2912	22.06%
29	025209	永赢先锋半导体智选混合发起C		混合型-偏股		1.0000		1.2197		0.2197	21.97%
30	019925	华宝竞争优势混合C		混合型-偏股		0.7601		0.9248		0.1647	21.67%
31	020840	南方中证半导体产业指数发起C		指数型-股票		1.7981		2.1775		0.3794	21.1%
32	024070	上银中证半导体产业指数发起式C		指数型-股票		1.3294		1.6075		0.2781	20.92%
33	001174	中欧瑾和灵活配置混合C		混合型-灵活		1.6931		2.0392		0.3461	20.44%
34	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.6966		2.0422		0.3456	20.37%
35	022180	新沃中债0-3年政策性金融债指数C		指数型-固收		0.9566		1.1510		0.1944	20.32%
36	021938	华安半导体产业股票发起式C		股票型		1.2935		1.5559		0.2624	20.29%
37	019764	中欧半导体产业股票发起C		股票型		1.4222		1.7025		0.2803	19.71%
38	017858	东财时代优选C		混合型-偏股		1.1286		1.3509		0.2223	19.7%
39	020465	招商中证半导体产业ETF发起式联接C		指数型-股票		1.8761		2.2375		0.3614	19.26%
40	013312	工银主题策略混合C		混合型-偏股		3.7150		4.4300		0.715	19.25%
41	016721	前海开源高端装备制造混合C		混合型-灵活		1.7069		2.0263		0.3194	18.71%
42	017076	宝盈半导体产业混合发起式C		混合型-偏股		1.7060		2.0227		0.3167	18.56%
43	016198	大成科创主题混合(LOF)C		混合型-偏股		2.7149		3.2061		0.4912	18.09%
44	016569	嘉实碳中和主题混合C		混合型-偏股		1.5609		1.8414		0.2805	17.97%
45	023045	太平科技先锋混合发起式C		混合型-偏股		1.2951		1.5261		0.231	17.84%
46	018454	大成互联网思维混合C		混合型-灵活		1.9475		2.2888		0.3413	17.53%
47	015146	同泰新能源1年持有股票C		股票型		1.0053		1.1810		0.1757	17.48%
48	015773	招商移动互联网产业股票基金C		股票型		1.5715		1.8452		0.2737	17.42%
49	023398	尚正研究睿选混合发起C		混合型-偏股		1.2173		1.4272		0.2099	17.24%
50	019296	博时匠心优选混合C		混合型-偏股		1.3584		1.5917		0.2333	17.17%
51	013081	中信保诚中证800有色指数(LOF)C		指数型-股票		2.2964		2.6875		0.3911	17.03%
