排序	编码		名称		类型		2025-09-01	2025-09-30	净增长	增长率
1	018927	南方中证电池主题指数发起C		指数型-股票		1.2166		1.6403		0.4237	34.83%
2	012863	汇添富中证电池主题ETF发起式联接C		指数型-股票		0.6187		0.8285		0.2098	33.91%
3	015998	大成中证电池主题指数发起C		指数型-股票		0.6657		0.8886		0.2229	33.48%
4	016020	招商中证电池主题ETF联接C		指数型-股票		0.6727		0.8961		0.2234	33.21%
5	016567	嘉实中证电池主题ETF发起联接C		指数型-股票		0.7506		0.9850		0.2344	31.23%
6	003985	嘉实新能源新材料股票C		股票型		2.0431		2.6374		0.5943	29.09%
7	017223	富国中证电池主题ETF发起式联接C		指数型-股票		0.8318		1.0732		0.2414	29.02%
8	016068	鹏华新能源汽车混合C		混合型-偏股		0.9818		1.2577		0.2759	28.1%
9	017074	嘉实清洁能源股票发起式C		股票型		0.8604		1.1014		0.241	28.01%
10	013180	广发国证新能源车电池ETF联接C		指数型-股票		0.6911		0.8814		0.1903	27.54%
11	015874	工银国证新能源车电池ETF发起式联接C		指数型-股票		0.7287		0.9276		0.1989	27.3%
12	018380	万家国证新能源车电池指数发起式C		指数型-股票		1.0034		1.2766		0.2732	27.23%
13	012127	宏利新能源股票C		股票型		1.0357		1.3147		0.279	26.94%
14	017166	易米低碳经济股票发起C		股票型		0.9102		1.1535		0.2433	26.73%
15	014766	中欧碳中和混合发起C		混合型-偏股		0.7886		0.9962		0.2076	26.33%
16	020682	建信环保产业股票C		股票型		0.9720		1.2240		0.252	25.93%
17	024420	华夏创业板新能源ETF发起式联接C		指数型-股票		1.1014		1.3858		0.2844	25.82%
18	022739	申万菱信新能源汽车主题灵活配置混合C		混合型-灵活		1.9150		2.4080		0.493	25.74%
19	017968	华富科技动能混合C		混合型-偏股		1.5404		1.9326		0.3922	25.46%
20	013188	华夏能源革新股票C		股票型		2.5680		3.2200		0.652	25.39%
21	011513	天弘中证新能源车C		指数型-股票		0.9896		1.2369		0.2473	24.99%
22	017840	银华清洁能源产业混合C		混合型-偏股		0.9595		1.1979		0.2384	24.85%
23	010806	东财新能源车C		指数型-股票		1.0144		1.2658		0.2514	24.78%
24	013196	招商中证新能源汽车指数C		指数型-股票		0.6528		0.8145		0.1617	24.77%
25	013048	富国中证新能源汽车指数(LOF)C		指数型-股票		0.9510		1.1860		0.235	24.71%
26	501058	汇添富中证新能源汽车产业指数(LOF)C		指数型-股票		1.9992		2.4926		0.4934	24.68%
27	014497	诺安研究优选混合C		混合型-偏股		1.0703		1.3341		0.2638	24.65%
28	016710	泉果旭源三年持有期混合C		混合型-偏股		0.8861		1.1041		0.218	24.6%
29	009068	国泰中证新能源汽车ETF联接C		指数型-股票		1.8614		2.3159		0.4545	24.42%
30	013320	华安中证新能源汽车ETF发起式联接C		指数型-股票		0.5887		0.7324		0.1437	24.41%
31	012699	平安中证新能车ETF联接C		指数型-股票		0.7036		0.8748		0.1712	24.33%
32	019091	博时中证新能源汽车ETF发起式联接C		指数型-股票		1.2811		1.5886		0.3075	24.0%
33	012544	嘉实中证新能源汽车指数C		指数型-股票		0.6324		0.7820		0.1496	23.66%
34	017967	华富新能源股票型发起式C		股票型		0.9274		1.1419		0.2145	23.13%
35	013014	华夏中证新能源汽车ETF发起式联接C		指数型-股票		0.6292		0.7744		0.1452	23.08%
36	013396	华夏新能源车龙头混合发起式C		混合型-偏股		0.9639		1.1795		0.2156	22.37%
37	018681	国联安气候变化混合C		混合型-偏股		0.5607		0.6859		0.1252	22.33%
38	016569	嘉实碳中和主题混合C		混合型-偏股		1.5064		1.8397		0.3333	22.13%
39	014238	东财新能源增强C		指数型-股票		0.5783		0.7056		0.1273	22.01%
40	018419	广发碳中和主题混合发起式C		混合型-偏股		1.2991		1.5837		0.2846	21.91%
41	011323	国泰智能汽车股票C		股票型		2.0775		2.5309		0.4534	21.82%
42	016478	光大专精特新混合C		混合型-偏股		1.0866		1.3202		0.2336	21.5%
43	002084	新华鑫动力灵活配置混合C		混合型-灵活		1.6509		2.0055		0.3546	21.48%
44	012976	西部利得碳中和混合发起C		混合型-偏股		0.7136		0.8665		0.1529	21.43%
45	014997	国泰国证新能源汽车指数C		指数型-股票		1.6905		2.0526		0.3621	21.42%
46	017572	华夏中证新能源ETF发起式联接C		指数型-股票		0.7031		0.8533		0.1502	21.36%
47	004813	中欧先进制造股票C		股票型		2.4755		3.0032		0.5277	21.32%
48	015928	西部利得绿色能源混合C		混合型-偏股		0.9671		1.1732		0.2061	21.31%
49	017037	嘉实低碳精选混合发起式C		混合型-偏股		0.7281		0.8824		0.1543	21.19%
50	012832	南方中证新能源ETF联接C		指数型-股票		0.5510		0.6674		0.1164	21.13%
51	017049	富安达产业优选混合C		混合型-偏股		0.8936		1.0821		0.1885	21.09%
