fund_code,最新净值,RSI,净值/MA50,MACD信号,布林带位置,投资建议,行动信号
015456,1.6606,38.81,1.06,死叉,中轨,观察,强买入
015916,1.9198,41.06,1.01,死叉,中轨,观察,强买入
014130,1.7242,43.67,1.12,死叉,中轨,观察,强买入
021031,2.1137,44.41,1.01,死叉,中轨,观察,强买入
017836,1.9481,44.61,1.07,死叉,中轨,观察,强买入
005118,1.602,35.56,0.99,死叉,中轨,等待回调,强买入
